Country,Country Link,Type of Emergency Financing,Type of Emergency Financing Link,Amount Approved in SDR,Amount Approved in US$,Date of Approval,region/service,Last Updated,Source,Source Link
Bangladesh,https://www.imf.org/en/Countries/BGD,Rapid Credit Facility (RCF),https://www.imf.org/en/News/Articles/2020/05/29/pr20226-bangladesh-imf-exec-board-approves-us-732m-disbursement-to-address-the-covid19-pandemic,SDR 177.77 million,US$ 244 million 3,"May 29, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Bangladesh,https://www.imf.org/en/Countries/BGD,Rapid Financing Instrument (RFI),https://www.imf.org/en/News/Articles/2020/05/29/pr20226-bangladesh-imf-exec-board-approves-us-732m-disbursement-to-address-the-covid19-pandemic,SDR 355.53 million,US$ 488 million 3,"May 29, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Maldives,https://www.imf.org/en/Countries/MDV,Rapid Credit Facility (RCF),https://www.imf.org/en/News/Articles/2020/04/22/pr20185-maldives-imf-executive-board-approves-disbursement-to-address-covid-19,SDR 21.2 million,US$ 28.9 million 3,"April 22, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Mongolia,/en/Countries/MNG,Rapid Financing Instrument (RFI),/en/News/Articles/2020/06/03/pr20232-mongolia-imf-executive-board-approves-us-99m-disbursement-under-the-rfi-address-covid19,SDR 72.3 million,US$ 99 million 3,"June 3, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Nepal,https://www.imf.org/en/Countries/NPL,Rapid Credit Facility (RCF),https://www.imf.org/en/News/Articles/2020/05/07/pr20209-nepal-imf-executive-board-approves-us-million-disbursement-address-covid-19-pandemic,SDR 156.9 million,US$ 214 million 3,"May 6, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Papua New Guinea,/en/Countries/PNG,Rapid Credit Facility (RCF),https://www.imf.org/en/News/Articles/2020/06/09/pr20238-papa-new-guinea-imf-executive-board-approves-disbursement-to-address-the-covid-19-pandemic,SDR 263.2 million,US$ 363.6 million 3,"June 9, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Samoa,https://www.imf.org/en/Countries/WSM,Rapid Credit Facility (RCF),https://www.imf.org/en/News/Articles/2020/04/24/pr20189-samoa-imf-executive-board-approves-us-million-disbursement-address-covid-19-pandemic,SDR 16.2 million,US$ 22.03 million 3,"April 24, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Solomon Islands,https://www.imf.org/en/Countries/SLB,Rapid Credit Facility (RCF),https://www.imf.org/en/News/Articles/2020/06/01/pr20229-solomon-islands-imf-executive-board-approves-disbursement-to-address-the-covid-19-pandemic,SDR 6.93 million,US$ 9.5 million 3,"June 1, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Solomon Islands,https://www.imf.org/en/Countries/SLB,Rapid Financing Instrument (RFI),https://www.imf.org/en/News/Articles/2020/06/01/pr20229-solomon-islands-imf-executive-board-approves-disbursement-to-address-the-covid-19-pandemic,SDR13.87 million,US$ 19 million 3,"June 1, 2020",Asia and Pacific,2020-06-10,IMF emergency financing,
Albania,https://www.imf.org/en/Countries/ALB,Rapid Financing Instrument (RFI),https://www.imf.org/en/News/Articles/2020/04/10/pr20148-albania-imf-executive-board-approves-us-in-emergency-support-to-combat-covid-19-pandemic,SDR 139.3 million,US$ 190.5 million 3,"April 10, 2020",Europe,2020-06-10,IMF emergency financing,
Bosnia and Herzegovina,https://www.imf.org/en/Countries/BIH,Rapid Financing Instrument (RFI),https://www.imf.org/en/News/Articles/2020/04/20/pr20176-bosnia-and-herzegovina-imf-executive-board-approves-usd361-million-in-emergency-support,SDR 265.2 million,US$ 361 million 3,"April 20, 2020",Europe,2020-06-10,IMF emergency financing,
